supplier_name,payment_days,transaction_amount,discount_amount,other_charges,tax_amount,excise_amount,total_amount,month,year,source_file,company_gstin,period_date
UMAR DRAJ,0.0,318386.01499999996,0.0,0.0,0.0,0.0,318391.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
CASH,0.0,42663.998,0.0,0.0,0.0,0.0,42664.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
ANUPAM MARKETING,0.0,42255.0,0.0,0.0,0.0,0.0,42255.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
GAURANGEE ENTERPRICES,0.0,136219.163,0.0,4008.137,4008.137,0.0,144235.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
CLASSIC ENTERPRICES,0.0,62595.83900000001,0.0,5515.716000000001,5515.716000000001,0.0,73628.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
AK DAIRY,0.0,423922.49299999996,0.0,0.0,0.0,0.0,423928.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
NARANG INDUSTRY,0.0,11100.0,0.0,0.0,0.0,0.0,11100.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
NEELKANTH TRADERS,0.0,58730.7,0.0,5285.763000000001,5285.763000000001,0.0,69302.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
RAM KIRANA STORE,0.0,60240.0,0.0,0.0,0.0,0.0,60240.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
MOHAN GAS AGENCY,0.0,42711.876,0.0,3844.0679999999998,3844.0679999999998,0.0,50400.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
GUPTA KIRANA STORE,0.0,120328.0,0.0,0.0,0.0,0.0,120328.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
SUPEREXCEL MARKETING,0.0,52779.266,0.0,12840.911999999997,7129.775,0.0,72750.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
NSK TRADERS,0.0,70210.0,0.0,2105.5,2105.5,0.0,74423.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
KUSUM ENTERPRICES,0.0,114282.42199999998,0.0,5871.8820000000005,5871.8820000000005,0.0,126027.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
VEDANT TRADERS,0.0,63564.337,0.0,2847.506,2847.506,0.0,69258.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
NEW INDANA PAPAD,0.0,29562.5,0.0,0.0,0.0,0.0,29563.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
FROZN DEP,0.0,23586.908000000003,0.0,1415.215,1415.215,0.0,26418.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
METRO CASH & CARRY,0.0,222179.82,0.0,0.0,0.0,0.0,222180.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
RUHANIKA ENTERPRICES,0.0,26207.457000000002,0.0,1622.7869999999998,1622.7869999999998,0.0,29453.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
AVNI ENTERPRICES,0.0,11520.096000000001,0.0,936.0089999999999,936.0089999999999,0.0,13392.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
MITTAL TRADING CO.,0.0,80260.0,0.0,0.0,0.0,0.0,80260.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
MOHD HAROON,0.0,240909.0,0.0,0.0,0.0,0.0,240909.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
BHALHA JI (DELHI),0.0,147002.426,0.0,0.0,0.0,0.0,147002.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
FRILL HOSPITALITY,0.0,177728.09,0.0,0.0,0.0,0.0,177728.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
NEW MOTHER INDIA DAIRY,0.0,145720.0,0.0,0.0,0.0,0.0,145720.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
Walmart (Best Price),0.0,147841.251,0.0,549.153,549.153,0.0,148940.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
MUSA RAM AGGARWAL,0.0,25812.0,0.0,0.0,0.0,0.0,25812.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
MILAP SOFTDRINKS,0.0,6240.0,0.0,0.0,0.0,0.0,6240.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
OREINTAL MEDICAL STORE AGENCY,0.0,2050.0,0.0,0.0,0.0,0.0,2050.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
HANZ ENTERPRICES,0.0,2665.0,0.0,239.85,239.85,0.0,3145.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
I.N.A Market (SK STORE),0.0,47708.0,0.0,0.0,0.0,0.0,47708.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
CK Enterprices,0.0,3500.0,0.0,0.0,0.0,0.0,3500.0,July,2021,july 2021.xls,09AAPFD1128D1ZN,2021-07-01
