supplier_name,payment_days,transaction_amount,discount_amount,other_charges,tax_amount,excise_amount,total_amount,month,year,source_file,company_gstin,period_date
UMAR DRAJ,0.0,278589.9060000001,0.0,0.0,0.0,0.0,278595.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
CASH,0.0,33710.0,0.0,0.0,0.0,0.0,33710.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
ANUPAM MARKETING,0.0,41904.0,0.0,0.0,0.0,0.0,41904.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
GAURANGEE ENTERPRICES,0.0,103598.84,0.0,2108.105,2108.105,0.0,107816.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
CLASSIC ENTERPRICES,0.0,32782.584,0.0,2950.4309999999996,2950.4309999999996,0.0,38683.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
AK DAIRY,0.0,375863.5,0.0,0.0,0.0,0.0,375873.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
NARANG INDUSTRY,0.0,7000.0,0.0,0.0,0.0,0.0,7000.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
NEELKANTH TRADERS,0.0,25677.41,0.0,2310.967,2310.967,0.0,30299.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
RAM KIRANA STORE,0.0,61246.0,0.0,0.0,0.0,0.0,61246.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
MOHAN GAS AGENCY,0.0,31881.348,0.0,2059.32,2059.32,0.0,36000.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
SUPEREXCEL MARKETING,0.0,49187.75,0.0,10733.268,5958.982999999999,0.0,65880.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
NSK TRADERS,0.0,59852.0,0.0,1980.55,1980.55,0.0,63814.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
KUSUM ENTERPRICES,0.0,59471.944,0.0,2325.344,2325.344,0.0,64123.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
VEDANT TRADERS,0.0,57430.755999999994,0.0,2850.489,2850.489,0.0,63132.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
NEW INDANA PAPAD,0.0,24200.0,0.0,0.0,0.0,0.0,24200.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
FROZN DEP,0.0,20469.095,0.0,1228.146,1228.146,0.0,22925.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
METRO CASH & CARRY,0.0,38525.303,0.0,0.0,0.0,0.0,38525.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
RUHANIKA ENTERPRICES,0.0,23854.563,0.0,1591.444,1591.444,0.0,27038.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
MITTAL TRADING CO.,0.0,42980.0,0.0,0.0,0.0,0.0,42980.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
MOHD HAROON,0.0,335750.0,0.0,0.0,0.0,0.0,335751.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
Walmart (Best Price),0.0,379054.198,0.0,0.0,0.0,0.0,379056.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
MUSA RAM AGGARWAL,0.0,27810.0,0.0,0.0,0.0,0.0,27810.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
MILAP SOFTDRINKS,0.0,7000.0,0.0,0.0,0.0,0.0,7000.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
HANZ ENTERPRICES,0.0,1272.0,0.0,114.48,114.48,0.0,1501.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
CK Enterprices,0.0,7000.0,0.0,0.0,0.0,0.0,7000.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
NAVYUG PAPER PRODUCTS,0.0,56140.847,0.0,5052.676,5052.676,0.0,66246.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
NAVYUG ENTERPRICES,0.0,40094.0,0.0,3608.46,3608.46,0.0,47311.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
Bhramanand Ashok kumar,0.0,18240.0,0.0,0.0,0.0,0.0,18240.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
Sekhri & sons,0.0,3728.8,0.0,335.592,335.592,0.0,4400.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
RAMDEEP CHAND STATIONARY,0.0,2745.0,0.0,0.0,0.0,0.0,2745.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
Loop Techno System Pvt Ltd,0.0,24500.0,0.0,2205.0,2205.0,0.0,28910.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
SIMRAN ENTERPRICES,0.0,12257.844,0.0,834.3170000000001,834.3170000000001,0.0,13927.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
ROYAL ENTERPRICES,0.0,7900.0,0.0,0.0,0.0,0.0,7900.0,September,2021,september 2021.xls,09AAPFD1128D1ZN,2021-09-01
