supplier_name,payment_days,transaction_amount,discount_amount,other_charges,tax_amount,excise_amount,total_amount,month,year,source_file,company_gstin,period_date
UMAR DRAJ,0.0,483559.8339999999,0.0,0.0,0.0,0.0,483558.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
CASH,0.0,148414.99800000002,0.0,0.0,0.0,0.0,148415.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
ANUPAM MARKETING,0.0,78995.01,0.0,0.0,0.0,0.0,78995.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
GAURANGEE ENTERPRICES,0.0,218653.6,0.0,7093.65,7093.65,0.0,232842.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
CLASSIC ENTERPRICES,0.0,27942.744000000002,0.0,2514.848,2514.848,0.0,32973.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
AK DAIRY,0.0,747067.0,0.0,0.0,0.0,0.0,747079.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
NARANG INDUSTRY,0.0,9600.0,0.0,0.0,0.0,0.0,9600.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
NEELKANTH TRADERS,0.0,120848.04,0.0,10876.322999999999,10876.322999999999,0.0,142600.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
RAM KIRANA STORE,0.0,225795.0,0.0,0.0,0.0,0.0,225795.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
MOHAN GAS AGENCY,0.0,84020.35200000001,0.0,6589.832,6589.832,0.0,97200.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
GUPTA KIRANA STORE,0.0,83856.5,0.0,3202.14,3202.14,0.0,90261.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
SUPEREXCEL MARKETING,0.0,78989.24500000001,0.0,19165.676,10655.104,0.0,108810.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
NSK TRADERS,0.0,93610.695,0.0,2734.612,2734.612,0.0,99079.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
KUSUM ENTERPRICES,0.0,44852.944,0.0,2161.317,2161.317,0.0,49176.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
VEDANT TRADERS,0.0,97806.79600000002,0.0,3866.522,3866.522,0.0,105540.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
NEW INDANA PAPAD,0.0,44550.0,0.0,0.0,0.0,0.0,44550.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
FROZN DEP,0.0,20047.785,0.0,1202.868,1202.868,0.0,22453.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
METRO CASH & CARRY,0.0,77599.43400000001,0.0,0.0,0.0,0.0,77599.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
RUHANIKA ENTERPRICES,0.0,30783.051,0.0,1974.356,1974.356,0.0,34731.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
AVNI ENTERPRICES,0.0,24534.144,0.0,1972.1530000000002,1972.1530000000002,0.0,28478.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
MITTAL TRADING CO.,0.0,65400.0,0.0,0.0,0.0,0.0,65400.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
MOHD HAROON,0.0,305986.0,0.0,0.0,0.0,0.0,305986.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
BHALHA JI (DELHI),0.0,195746.18,0.0,0.0,0.0,0.0,195746.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
Walmart (Best Price),0.0,326189.198,0.0,0.0,0.0,0.0,326189.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
MUSA RAM AGGARWAL,0.0,33110.0,0.0,0.0,0.0,0.0,33110.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
HANZ ENTERPRICES,0.0,9205.05,0.0,828.455,828.455,0.0,10862.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
I.N.A Market (SK STORE),0.0,38400.0,0.0,0.0,0.0,0.0,38400.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
NAVYUG PAPER PRODUCTS,0.0,91778.69699999999,0.0,8260.083,8260.083,0.0,108299.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
NAVYUG ENTERPRICES,0.0,22800.0,0.0,2052.0,2052.0,0.0,26904.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
SUDHAKAR MUDRALYA,0.0,32500.0,0.0,0.0,0.0,0.0,32500.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
KUMAR STORE (PRINCE BHAIYA),0.0,70100.0,0.0,0.0,0.0,0.0,70100.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
MAHADEV TRADERS,0.0,16525.4,0.0,1487.286,1487.286,0.0,19500.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
MR RAHUL JUNEJA,0.0,26000.0,0.0,0.0,0.0,0.0,26000.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
SGS HANDLOOM,0.0,21492.0,0.0,0.0,0.0,0.0,21492.0,November,2021,november 2021.xls,09AAPFD1128D1ZN,2021-11-01
