supplier_name,payment_days,transaction_amount,discount_amount,other_charges,tax_amount,excise_amount,total_amount,month,year,source_file,company_gstin,period_date
UMAR DRAJ,0.0,414075.8470000001,0.0,0.0,0.0,0.0,414074.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
CASH,0.0,45890.88,0.0,0.0,0.0,0.0,45891.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
ANUPAM MARKETING,0.0,40425.0,0.0,0.0,0.0,0.0,40425.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
GAURANGEE ENTERPRICES,0.0,156060.87,0.0,4402.988,4402.988,0.0,164866.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
CLASSIC ENTERPRICES,0.0,15820.132999999998,0.0,1423.8110000000001,1423.8110000000001,0.0,18668.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
AK DAIRY,0.0,540945.0,0.0,0.0,0.0,0.0,540950.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
NARANG INDUSTRY,0.0,9800.0,0.0,0.0,0.0,0.0,9800.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
NEELKANTH TRADERS,0.0,55356.14399999999,0.0,4982.052999999999,4982.052999999999,0.0,65320.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
RAM KIRANA STORE,0.0,51781.03,0.0,0.0,0.0,0.0,51781.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
MOHAN GAS AGENCY,0.0,48305.07,0.0,4347.455,4347.455,0.0,57000.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
GUPTA KIRANA STORE,0.0,207373.25,0.0,5965.93,5965.93,0.0,219305.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
SUPEREXCEL MARKETING,0.0,60090.765,0.0,13860.205,7894.062000000001,0.0,81845.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
NSK TRADERS,0.0,82327.0,0.0,2581.925,2581.925,0.0,87491.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
VEDANT TRADERS,0.0,85150.976,0.0,2586.428,2586.428,0.0,90324.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
NEW INDANA PAPAD,0.0,5775.0,0.0,0.0,0.0,0.0,5775.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
FROZN DEP,0.0,7465.411,0.0,447.925,447.925,0.0,8361.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
METRO CASH & CARRY,0.0,288108.459,0.0,0.0,0.0,0.0,288108.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
RUHANIKA ENTERPRICES,0.0,30713.627999999997,0.0,1949.598,1949.598,0.0,34613.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
AVNI ENTERPRICES,0.0,39100.24,0.0,3225.6220000000003,3225.6220000000003,0.0,45552.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
MITTAL TRADING CO.,0.0,119245.0,0.0,0.0,0.0,0.0,119245.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
MOHD HAROON,0.0,429925.5,0.0,0.0,0.0,0.0,429926.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
Walmart (Best Price),0.0,325242.926,0.0,0.0,0.0,0.0,325243.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
MUSA RAM AGGARWAL,0.0,40985.01,0.0,0.0,0.0,0.0,40985.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
MILAP SOFTDRINKS,0.0,2990.0,0.0,0.0,0.0,0.0,2990.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
HANZ ENTERPRICES,0.0,18198.027,0.0,1629.122,1629.122,0.0,21457.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
CK Enterprices,0.0,7000.0,0.0,0.0,0.0,0.0,7000.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
NAVYUG PAPER PRODUCTS,0.0,20856.5,0.0,1877.085,1877.085,0.0,24611.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
Bhramanand Ashok kumar,0.0,4922.0,0.0,0.0,0.0,0.0,4922.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
KROWN OVERSEAS,0.0,63553.8,0.0,0.0,0.0,0.0,63554.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
SUDHAKAR MUDRALYA,0.0,1125.0,0.0,0.0,0.0,0.0,1125.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
SIMRAN ENTERPRICES,0.0,16388.712,0.0,1039.611,1039.611,0.0,18468.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
KS BEVERAGES,0.0,10200.0,0.0,0.0,0.0,0.0,10200.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
Vandana Traders,0.0,10114.185,0.0,252.855,252.855,0.0,10620.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
Ganpati Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
BHISH EXPORTS,0.0,20000.0,0.0,1200.0,1200.0,0.0,22400.0,December,2021,december 2021.xls,09AAPFD1128D1ZN,2021-12-01
