supplier_name,payment_days,transaction_amount,discount_amount,other_charges,tax_amount,excise_amount,total_amount,month,year,source_file,company_gstin,period_date
UMAR DRAJ,0.0,340891.10800000007,0.0,0.0,0.0,0.0,340887.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
CASH,0.0,32269.0,0.0,0.0,0.0,0.0,32269.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
ANUPAM MARKETING,0.0,31590.0,0.0,0.0,0.0,0.0,31590.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
GAURANGEE ENTERPRICES,0.0,133916.08800000002,0.0,3839.241,3839.241,0.0,141595.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
CLASSIC ENTERPRICES,0.0,27161.236999999997,0.0,2444.5129999999995,2444.5129999999995,0.0,32050.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
AK DAIRY,0.0,535724.0,0.0,0.0,0.0,0.0,535731.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
NARANG INDUSTRY,0.0,8050.0,0.0,0.0,0.0,0.0,8050.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
NEELKANTH TRADERS,0.0,86334.28,0.0,7770.085,7770.085,0.0,101875.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
RAM KIRANA STORE,0.0,154144.9,0.0,0.0,0.0,0.0,154145.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
MOHAN GAS AGENCY,0.0,50898.315,0.0,4580.848999999999,4580.848999999999,0.0,60060.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
GUPTA KIRANA STORE,0.0,401650.0,0.0,877.25,877.25,0.0,403405.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
SUPEREXCEL MARKETING,0.0,51284.265999999996,0.0,12207.298,6848.440999999999,0.0,70340.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
NSK TRADERS,0.0,69810.0,0.0,2146.75,2146.75,0.0,74104.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
KUSUM ENTERPRICES,0.0,138214.29,0.0,6684.751,6684.751,0.0,151585.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
VEDANT TRADERS,0.0,84834.76400000001,0.0,3005.03,3005.03,0.0,90847.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
NEW INDANA PAPAD,0.0,25300.0,0.0,0.0,0.0,0.0,25300.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
FROZN DEP,0.0,12679.421999999999,0.0,760.7660000000001,760.7660000000001,0.0,14200.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
METRO CASH & CARRY,0.0,219644.343,0.0,0.0,0.0,0.0,219645.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
RUHANIKA ENTERPRICES,0.0,29209.179,0.0,1814.1779999999999,1814.1779999999999,0.0,32837.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
AVNI ENTERPRICES,0.0,29042.175999999996,0.0,2241.736,2241.736,0.0,33525.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
MITTAL TRADING CO.,0.0,84410.0,0.0,0.0,0.0,0.0,84410.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
MOHD HAROON,0.0,429121.0,0.0,0.0,0.0,0.0,429121.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
Walmart (Best Price),0.0,64279.56,0.0,0.0,0.0,0.0,64280.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
MUSA RAM AGGARWAL,0.0,29580.0,0.0,0.0,0.0,0.0,29580.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
MILAP SOFTDRINKS,0.0,7660.0,0.0,0.0,0.0,0.0,7660.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
NAVYUG PAPER PRODUCTS,0.0,33047.119,0.0,2974.241,2974.241,0.0,38996.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
RAMDEEP CHAND STATIONARY,0.0,12809.99,0.0,0.0,0.0,0.0,12810.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
KUMAR STORE (PRINCE BHAIYA),0.0,143520.0,0.0,0.0,0.0,0.0,143520.0,October,2021,october 2021.xls,09AAPFD1128D1ZN,2021-10-01
